id,category,severity,urgency,expected_action,english,hindi,odia,sambalpuri,santali,kui,desia,english_keywords,hindi_keywords,odia_keywords,sambalpuri_keywords,santali_keywords,kui_keywords,desia_keywords,notes
ILRC_014,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I need help because They are chasing to kill me and I am hiding in the jungle I need help.,मुझे मदद चाहिए क्योंकि वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। मुझे मदद चाहिए।,ମୋତେ ସାହାଯ୍ୟ ଦରକାର କାରଣ ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ମୋତେ ସାହାଯ୍ୟ ଦରକାର।,"Mote sahajya darkar kanje Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe mote sahajya darkar.","Masing darkar kanje Gojing lagid ko panjayedina, bir re ukanakana banchaoing pe.","Aanki saaha lohe kanje Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji aanki sahaya kidu.","Muke sahajya darkar kanje Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe muke sahajya kora.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_015,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"Please understand, They are chasing to kill me and I am hiding in the jungle This is urgent.","कृपया समझिए, वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। यह जरूरी है।","ଦୟାକରି ବୁଝନ୍ତୁ, ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ଏହା ଜରୁରୀ।","Bujha mor katha, Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe eha jaruri aichhe.","Bujhau me, Gojing lagid ko panjayedina, bir re ukanakana aadi jaruri kana.","Bujha aani katha, Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji eehe jaruri manji.","Mor katha bujha, Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe eita jaruri ache.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_016,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I am scared: They are chasing to kill me and I am hiding in the jungle Please stay with me.,मैं डरा/डरी हूँ: वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। कृपया मेरे साथ रहें।,ମୁଁ ଭୟଭୀତ: ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ଦୟାକରି ମୋ ସହିତ ରୁହନ୍ତୁ।,"Mor darr laguchhe: Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe mor sanghe thia hua.","Botor aikawkana: Gojing lagid ko panjayedina, bir re ukanakana ing sang te tahenpe.","Aanki biiti manji: Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji aani sanghe thia aatu.","Muke darr laguche: Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe mor sanghe thia hua.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_017,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,This is urgent: They are chasing to kill me and I am hiding in the jungle I cannot handle this alone.,यह जरूरी है: वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। मैं इसे अकेले नहीं संभाल सकता/सकती।,ଏହା ଜରୁରୀ: ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ମୁଁ ଏହାକୁ ଏକାକୀ ସମ୍ଭାଳିପାରୁନାହିଁ।,"Jaruri aichhe: Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe mu eka sambhali nai pare.","Jaruri kana: Gojing lagid ko panjayedina, bir re ukanakana ing eskar bang sambhrao dadeakana.","Jaruri manji: Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji aanu roote nai pare.","Jaruri ache: Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe mui eka sambhali nai pare.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_018,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,Please act now: They are chasing to kill me and I am hiding in the jungle Please do not ignore me.,कृपया अभी कार्रवाई करें: वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। कृपया मुझे अनदेखा न करें।,ଦୟାକରି ଏବେ କାର୍ଯ୍ୟ କରନ୍ତୁ: ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ଦୟାକରି ମୋତେ ଅଣଦେଖା କରନ୍ତୁ ନାହିଁ।,"Ebe turant katha suna: Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe mote anadekha nai kara.","Nita ge kami pe: Gojing lagid ko panjayedina, bir re ukanakana aalo pe bageana.","Eebe turat vasa: Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji aanki bagedu aatu.","Ebe turant katha suna: Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe muke anadekha nai kora.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_019,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I need immediate help: They are chasing to kill me and I am hiding in the jungle I need someone to help.,मुझे तुरंत मदद चाहिए: वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। मुझे किसी की मदद चाहिए।,ମୋତେ ତୁରନ୍ତ ସାହାଯ୍ୟ ଦରକାର: ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ମୋତେ କାହାରୋ ସାହାଯ୍ୟ ଦରକାର।,"Turant sahajya darkar: Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe kahari madat pathao.","Turat banchao darkar: Gojing lagid ko panjayedina, bir re ukanakana jahay hohoako pe.","Turat saaha lohe: Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji eeheki madat poyatu.","Turant sahajya darkar: Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe karike madat pathaa.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_020,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"For my safety, They are chasing to kill me and I am hiding in the jungle Please take this seriously.","मेरी सुरक्षा के लिए, वे मुझे मारने के लिए दौड़ा रहे हैं और मैं जंगल में छिपा हूँ।। कृपया इसे गंभीरता से लें।","ମୋ ସୁରକ୍ଷା ପାଇଁ, ସେମାନେ ମୋତେ ମାରିବାକୁ ଗୋଡ଼ାଉଛନ୍ତି ଏବଂ ମୁଁ ଜଙ୍ଗଲରେ ଲୁଚିକି ଅଛି।। ଦୟାକରି ଏହାକୁ ଗମ୍ଭୀରତାର ସହ ନିଅନ୍ତୁ।","Mor surakshya lagi, Mor pache godauchhan marba boli, mu bana dongar re nuchi achhe eha ke gambhira hisabe nia.","Ingak suraksha lagi, Gojing lagid ko panjayedina, bir re ukanakana aadi jaruri kana.","Aani surakshya lagi, Eehe aanki havba pain pache vachan, aanu mara bana bitre nuchiki manji eeheke gambhira hisabe gihmu.","Mor surakshya lagi, Muke marbar lagi pache godauchhan, mui bana dongor bitre nuchi achhe eita ke gambhira kori nia.","chasing, jungle, hiding","marne, jungle, chhipa","ଗୋଡ଼ାଉଛନ୍ତି, ଜଙ୍ଗଲ, ଲୁଚିକି","godauchhan, marba, bana, dongar, nuchi","panjayedina, gojing, bir, ukanakana","havba, mara, nuchiki, pache, bana bitre","godauchhan, marbar lagi, bana dongor, nuchi","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_021,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,Please help me right now.,कृपया अभी मेरी मदद करें।,ଦୟାକରି ଏବେ ମୋତେ ସାହାଯ୍ୟ କରନ୍ତୁ।,Daya kari ebe mor sahajya kara.,Daya kate nita ge banchaoing pe.,Daya koni eebe aanki saaha kidu.,Daya kori ebe muke sahajya kora.,help now,madad abhi,ସାହାଯ୍ୟ ଏବେ,sahajya ebe,banchaoing nita,"saaha kidu, eebe","sahajya kora, muke ebe","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_022,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,Please Please help me right now Please help.,कृपया कृपया अभी मेरी मदद करें।। कृपया मदद करें।,ଦୟାକରି ଦୟାକରି ଏବେ ମୋତେ ସାହାଯ୍ୟ କରନ୍ତୁ।। ଦୟାକରି ସାହାଯ୍ୟ କରନ୍ତୁ।,Daya kari Daya kari ebe mor sahajya kara mor sahajya kara.,Daya kate Daya kate nita ge banchaoing pe banchaoing pe.,Daya koni Daya koni eebe aanki saaha kidu aanki saaha kidu.,Daya kori Daya kori ebe muke sahajya kora muke sahajya kora.,help now,madad abhi,ସାହାଯ୍ୟ ଏବେ,sahajya ebe,banchaoing nita,"saaha kidu, eebe","sahajya kora, muke ebe","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_023,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"Right now, Please help me right now I am scared.","अभी, कृपया अभी मेरी मदद करें।। मैं डरा/डरी हूँ।","ଏବେ, ଦୟାକରି ଏବେ ମୋତେ ସାହାଯ୍ୟ କରନ୍ତୁ।। ମୁଁ ଭୟଭୀତ।","Ebe, Daya kari ebe mor sahajya kara mor darr laguchhe.","Nita ge, Daya kate nita ge banchaoing pe botor ge aikawkana.","Eebe, Daya koni eebe aanki saaha kidu aanki biiti manji.","Ebe, Daya kori ebe muke sahajya kora muke darr laguche.",help now,madad abhi,ସାହାଯ୍ୟ ଏବେ,sahajya ebe,banchaoing nita,"saaha kidu, eebe","sahajya kora, muke ebe","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_024,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,I need help because Please help me right now I need help.,मुझे मदद चाहिए क्योंकि कृपया अभी मेरी मदद करें।। मुझे मदद चाहिए।,ମୋତେ ସାହାଯ୍ୟ ଦରକାର କାରଣ ଦୟାକରି ଏବେ ମୋତେ ସାହାଯ୍ୟ କରନ୍ତୁ।। ମୋତେ ସାହାଯ୍ୟ ଦରକାର।,Mote sahajya darkar kanje Daya kari ebe mor sahajya kara mote sahajya darkar.,Masing darkar kanje Daya kate nita ge banchaoing pe banchaoing pe.,Aanki saaha lohe kanje Daya koni eebe aanki saaha kidu aanki sahaya kidu.,Muke sahajya darkar kanje Daya kori ebe muke sahajya kora muke sahajya kora.,help now,madad abhi,ସାହାଯ୍ୟ ଏବେ,sahajya ebe,banchaoing nita,"saaha kidu, eebe","sahajya kora, muke ebe","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
ILRC_025,Immediate_Danger,CRITICAL,IMMEDIATE,SAFETY_ESCALATION,"Please understand, Please help me right now This is urgent.","कृपया समझिए, कृपया अभी मेरी मदद करें।। यह जरूरी है।","ଦୟାକରି ବୁଝନ୍ତୁ, ଦୟାକରି ଏବେ ମୋତେ ସାହାଯ୍ୟ କରନ୍ତୁ।। ଏହା ଜରୁରୀ।","Bujha mor katha, Daya kari ebe mor sahajya kara eha jaruri aichhe.","Bujhau me, Daya kate nita ge banchaoing pe aadi jaruri kana.","Bujha aani katha, Daya koni eebe aanki saaha kidu eehe jaruri manji.","Mor katha bujha, Daya kori ebe muke sahajya kora eita jaruri ache.",help now,madad abhi,ସାହାଯ୍ୟ ଏବେ,sahajya ebe,banchaoing nita,"saaha kidu, eebe","sahajya kora, muke ebe","Multilingual emergency phrase including native Sambalpuri (Kosli), Santali, Kui (Kandha), and Desia (Koraput) dialect variations."
